product_name,quantity,total_price,date_of_purchase
BHABURLY 40 L Room/Personal Air Cooler,24,131976.00,01-11-2021
Symphony 95 L Desert Air Cooler,17,181747.00,26-01-2023
RoseGold BETABEL NATURAL BEETROOT WINE,14,10066.00,16-11-2021
Kenstar 27 L Room/Personal Air Cooler,30,158970.00,02-01-2022
BHABURLY 140 L Desert Air Cooler,24,371976.00,24-12-2021
V-Guard 35 L Room/Personal Air Cooler,22,152438.00,12-01-2023
williams wine RED VIOLET SUGAR FREE,27,21762.00,12-12-2022
RoseGold BETABEL NATURAL BEETROOT WINE,10,7190.00,19-01-2022
Real Fruit Juice Mixed,20,400.00,12-01-2021
RoseGold BETABEL NATURAL BEETROOT WINE,15,10785.00,02-12-2022
RoseGold Sterling-Natural White wine,16,13584.00,09-02-2022
Kenstar 27 L Room/Personal Air Cooler,13,68887.00,30-10-2021
Maaza Mango,27,1674.00,18-01-2021
BHABURLY 40 L Room/Personal Air Cooler,13,71487.00,12-10-2022
Slice Mango Drink,18,594.00,19-08-2023
Kenstar 27 L Room/Personal Air Cooler,27,143073.00,20-08-2022
V-Guard 35 L Room/Personal Air Cooler,10,69290.00,13-03-2023
BHABURLY 40 L Room/Personal Air Cooler,19,104481.00,01-02-2022
williams wine RED VIOLET SUGAR FREE,20,16120.00,28-08-2021
TOMASHI 90 L Window Air Cooler,21,299628.00,11-01-2022
BHABURLY 140 L Desert Air Cooler,25,387475.00,10-08-2021
BHABURLY 40 L Room/Personal Air Cooler,24,131976.00,02-11-2022
BHABURLY 140 L Desert Air Cooler,30,464970.00,10-10-2022
BHABURLY 40 L Room/Personal Air Cooler,20,109980.00,20-08-2022
FROOTI Mango Drink,18,162.00,22-10-2023
BAJAJ 36 L Room/Personal Air Cooler,30,178470.00,12-02-2023
V-Guard 35 L Room/Personal Air Cooler,22,152438.00,26-12-2021
V-Guard 35 L Room/Personal Air Cooler,14,97006.00,25-12-2022
RoseGold BETABEL NATURAL BEETROOT WINE,30,21570.00,20-08-2023
BHABURLY 140 L Desert Air Cooler,14,216986.00,05-02-2021
BHABURLY 40 L Room/Personal Air Cooler,22,120978.00,23-12-2021
RoseGold BETABEL NATURAL BEETROOT WINE,29,20851.00,20-11-2022
RoseGold Sterling-Natural White wine,27,22923.00,29-08-2023
FROOTI Mango Drink,18,162.00,02-08-2022
BAJAJ 90 L Desert Air Cooler,15,164985.00,15-01-2021
